Year,Month,Jurisdiction,Covid_Deaths,Total_Deaths,Pneumonia_Deaths,Influenza_Deaths,Pneumonia_Influenza_Deaths,Pneumonia_Influenza_Covid,Local_Trips,Interstate_Trips,Long_Distance_Trips
2021,5,Wyoming,224.0,1337.0,164.0,0.0,164.0,253.0,70515930.0,7171165.0,1232753.0
2021,6,California,806.0,42392.0,3148.0,0.0,3162.0,3748.0,3473684824.0,256261451.0,33972993.0
2021,6,Florida,1666.0,35160.0,3268.0,15.0,3289.0,4174.0,2560304612.0,129680292.0,17871029.0
2021,6,Georgia,396.0,14004.0,819.0,4.0,824.0,1063.0,1079268579.0,81429285.0,12678120.0
2021,6,New York,770.0,24890.0,1642.0,24.0,1648.0,2030.0,2625298247.0,121069351.0,14939132.0
2021,6,North Carolina,542.0,15372.0,1080.0,0.0,1081.0,1471.0,1166347297.0,77813322.0,11954717.0
2021,6,Wyoming,192.0,1091.0,132.0,0.0,132.0,189.0,68875528.0,7251007.0,1142685.0
2021,7,California,2239.0,42898.0,3520.0,14.0,3536.0,5213.0,3814512580.0,267717984.0,39943081.0
2021,7,Florida,4008.0,38166.0,5146.0,40.0,5178.0,6650.0,2374843584.0,131126849.0,22034598.0
2021,7,Georgia,684.0,14476.0,1074.0,0.0,1076.0,1446.0,1094168232.0,85333319.0,14719558.0
2021,7,New York,1249.0,24144.0,1866.0,8.0,1874.0,2466.0,2745926220.0,133758634.0,20297571.0
2021,7,North Carolina,602.0,15748.0,1114.0,0.0,1115.0,1444.0,1203643922.0,79471662.0,14566020.0
2021,7,Wyoming,185.0,1127.0,137.0,0.0,137.0,197.0,70960259.0,6624873.0,1253069.0
2021,8,California,9099.0,61492.0,9258.0,28.0,9290.0,13125.0,3775396538.0,273980317.0,37443277.0
2021,8,Florida,24395.0,68378.0,20005.0,60.0,20046.0,27381.0,2212110516.0,117878378.0,20059016.0
2021,8,Georgia,6930.0,25238.0,4556.0,7.0,4568.0,7900.0,1094303973.0,82189454.0,12814262.0
2021,8,New York,2044.0,32539.0,3134.0,32.0,3154.0,4607.0,2768268221.0,132519767.0,19938575.0
2021,8,North Carolina,4278.0,23864.0,3865.0,14.0,3876.0,5591.0,1189756428.0,76089836.0,13297234.0
2021,8,Wyoming,303.0,1724.0,237.0,0.0,237.0,350.0,67193859.0,6192491.0,1182541.0
2021,9,California,8500.0,50748.0,8476.0,14.0,8501.0,11322.0,3647108757.0,274409370.0,36486146.0
2021,9,Florida,14417.0,48710.0,12143.0,30.0,12168.0,16871.0,2104766149.0,111823028.0,19532731.0
2021,9,Georgia,6802.0,21762.0,4887.0,9.0,4900.0,7616.0,1057704985.0,79421163.0,12485511.0
2021,9,New York,2761.0,27488.0,3066.0,0.0,3072.0,4825.0,2680187957.0,127362471.0,17923115.0
2021,9,North Carolina,5171.0,20628.0,4159.0,8.0,4164.0,6244.0,1144688349.0,71261681.0,12037048.0
