Year,Month,Jurisdiction,Covid_Deaths,Total_Deaths,Pneumonia_Deaths,Influenza_Deaths,Pneumonia_Influenza_Deaths,Pneumonia_Influenza_Covid
2020,2,Connecticut,0.0,7218.0,496.0,24.0,565.0,729.0
2020,2,Delaware,0.0,2166.0,192.0,0.0,186.0,282.0
2020,2,Florida,0.0,33944.0,2652.0,236.0,2901.0,3054.0
2020,2,Georgia,174.0,14272.0,872.0,69.0,1063.0,1196.0
2020,2,Hawaii,0.0,2689.0,212.0,0.0,242.0,277.0
2020,2,Idaho,0.0,3374.0,243.0,0.0,260.0,345.0
2020,2,Illinois,0.0,18320.0,1415.0,109.0,1645.0,1792.0
2020,2,Indiana,0.0,11146.0,879.0,58.0,1044.0,1106.0
2020,2,Iowa,0.0,6135.0,517.0,13.0,608.0,812.0
2020,2,Kansas,0.0,6148.0,423.0,33.0,464.0,545.0
2020,2,Kentucky,0.0,8504.0,678.0,33.0,754.0,754.0
2020,2,Louisiana,220.0,7576.0,415.0,11.0,479.0,533.0
2020,2,Maine,0.0,3257.0,256.0,0.0,301.0,381.0
2020,2,Maryland,0.0,9411.0,635.0,36.0,814.0,938.0
2020,2,Massachusetts,120.0,12202.0,919.0,111.0,934.0,971.0
2020,2,Michigan,395.0,16346.0,1060.0,157.0,1493.0,1649.0
2020,2,Minnesota,0.0,8016.0,613.0,51.0,667.0,725.0
2020,2,Mississippi,180.0,6236.0,513.0,12.0,532.0,558.0
2020,2,Missouri,0.0,10512.0,747.0,106.0,878.0,983.0
2020,2,Montana,0.0,2376.0,173.0,0.0,174.0,230.0
2020,2,Nebraska,0.0,3748.0,323.0,0.0,369.0,483.0
2020,2,Nevada,0.0,5814.0,497.0,0.0,478.0,520.0
2020,2,New Hampshire,0.0,2573.0,196.0,0.0,211.0,283.0
2020,2,New Jersey,0.0,12276.0,761.0,53.0,845.0,891.0
2020,2,New Mexico,0.0,4231.0,315.0,0.0,379.0,455.0
2020,2,New York,854.0,25816.0,2553.0,258.0,3044.0,3547.0
2020,2,North Carolina,178.0,15944.0,1184.0,193.0,1588.0,1760.0
2020,2,North Dakota,0.0,1522.0,158.0,0.0,151.0,221.0
2020,2,Ohio,0.0,20062.0,1285.0,172.0,1705.0,1969.0
2020,2,Oklahoma,0.0,7215.0,755.0,29.0,792.0,850.0
2020,2,Oregon,0.0,8473.0,434.0,13.0,549.0,705.0
2020,2,Pennsylvania,0.0,21986.0,1614.0,170.0,1805.0,2037.0
2020,2,Rhode Island,0.0,2118.0,176.0,0.0,186.0,291.0
2020,2,South Carolina,0.0,8492.0,704.0,43.0,752.0,863.0
