Year,Month,State_Postal_Code,Local_Trips,Interstate_Trips,Long_Distance_Trips
2022,1,WY,72735793.0,6209243.0,1222816.0
2022,2,CA,3354711609.0,250261726.0,35497052.0
2022,2,FL,1902107739.0,104113105.0,19992289.0
2022,2,GA,985914437.0,74065305.0,12248996.0
2022,2,NC,1114540744.0,70115588.0,10750001.0
2022,2,NY,2333834407.0,113897035.0,16629547.0
2022,2,WY,64486897.0,6163766.0,1174868.0
2022,3,CA,3711172268.0,286137261.0,41452259.0
2022,3,FL,2312103246.0,127467636.0,23789654.0
2022,3,GA,1109198128.0,85804649.0,14262075.0
2022,3,NC,1253136241.0,79316961.0,12736009.0
2022,3,NY,2734780245.0,128279331.0,18138819.0
2022,3,WY,68726459.0,6105478.0,1288523.0
2022,4,CA,3674814396.0,267072545.0,39495727.0
2022,4,FL,2311896438.0,126406565.0,23375178.0
2022,4,GA,1149279147.0,86344593.0,14468705.0
2022,4,NC,1252917946.0,78977775.0,13181345.0
2022,4,NY,2606168100.0,122633231.0,17890820.0
2022,4,WY,69451723.0,5987409.0,1271332.0
2022,5,CA,3943634365.0,280193776.0,39052615.0
2022,5,FL,2361267141.0,128150295.0,23391408.0
2022,5,GA,1180591740.0,90421927.0,13994805.0
2022,5,NC,1265166349.0,83523477.0,13536562.0
2022,5,NY,2692182322.0,132149391.0,19778208.0
2022,5,WY,71419930.0,6664671.0,1360360.0
2022,6,CA,3697399756.0,281605184.0,42316035.0
2022,6,FL,2155957543.0,124687363.0,23579904.0
2022,6,GA,1067935510.0,87658964.0,15280784.0
2022,6,NC,1142162872.0,79785813.0,14438626.0
2022,6,NY,2524630244.0,131302942.0,20521430.0
2022,6,WY,64757191.0,6240512.0,1403361.0
2022,7,CA,3788343774.0,293172720.0,45603518.0
2022,7,FL,2267579162.0,131384747.0,25332014.0
2022,7,GA,1125700792.0,91380396.0,16171811.0
2022,7,NC,1191967413.0,83702286.0,15736132.0
2022,7,NY,2614433768.0,137940981.0,23313097.0
2022,7,WY,67691875.0,6605978.0,1439879.0
2022,8,CA,3889897765.0,298737251.0,45531703.0
2022,8,FL,2348376096.0,137069075.0,25200985.0
2022,8,GA,1137355740.0,93710580.0,15958372.0
2022,8,NC,1199711873.0,86599921.0,15904546.0
2022,8,NY,2650856624.0,140601290.0,23512783.0
2022,8,WY,68292765.0,6489390.0,1408240.0
2022,9,CA,3885634137.0,291543651.0,42668693.0
2022,9,FL,2358178833.0,134504776.0,24036022.0
2022,9,GA,1136779657.0,90884678.0,15676427.0
2022,9,NC,1213999420.0,84262350.0,15121175.0
2022,9,NY,2658981161.0,137891559.0,22106930.0
2022,9,WY,68991317.0,6289200.0,1338306.0
2022,10,CA,3680531962.0,272858193.0,41402015.0
2022,10,FL,2383038977.0,134516195.0,24373324.0
2022,10,GA,1165876683.0,93630998.0,15924112.0
2022,10,NC,1233974372.0,86390774.0,15367069.0
2022,10,NY,2688088248.0,133148778.0,20998536.0
2022,10,WY,70602963.0,7030745.0,1363845.0
2022,11,CA,3760323697.0,274958328.0,38559042.0
2022,11,FL,2377962333.0,132156674.0,21945308.0
2022,11,GA,1178681210.0,94578266.0,15105786.0
2022,11,NC,1223176384.0,87529332.0,14098196.0
2022,11,NY,2627205417.0,124026948.0,19051484.0
2022,11,WY,69980513.0,7637643.0,1349472.0
2022,12,CA,4063251117.0,292417792.0,39842121.0
2022,12,FL,2515749024.0,143347273.0,24073397.0
2022,12,GA,1236513094.0,101120381.0,15967774.0
2022,12,NC,1272069914.0,94162389.0,15043833.0
2022,12,NY,2814468779.0,130330995.0,18916707.0
2022,12,WY,75319427.0,8481357.0,1530966.0
2023,1,CA,3991292798.0,282666170.0,42236879.0
2023,1,FL,2403260371.0,134635799.0,24372718.0
2023,1,GA,1179053104.0,95606521.0,16664997.0
2023,1,NC,1242971738.0,88718148.0,16190137.0
2023,1,NY,2792468914.0,130490762.0,22448572.0
2023,1,WY,75454121.0,8005644.0,1561014.0
2023,2,CA,3894739638.0,284168526.0,44885125.0
2023,2,FL,2278285721.0,126432762.0,22796093.0
2023,2,GA,1111245706.0,89311416.0,15769525.0
2023,2,NC,1185032649.0,84212073.0,14241101.0
2023,2,NY,2691431862.0,126654583.0,20077401.0
2023,2,WY,74703195.0,7606978.0,1469283.0
2023,3,CA,4254106635.0,304141408.0,47090149.0
2023,3,FL,2563252914.0,143247180.0,25584791.0
